timestamp_ns,source,x_m,y_m,yaw_rad,speed_m_s,wheel_nis,wheel_accepted
1544686261517017965,imu,0.000000,0.000000,0.00000000,0.000000,,
1544686261520977469,wheel,0.068922,0.000000,0.00000787,17.408631,3.036845,True
1544686261527010519,imu,0.173967,0.000002,0.00001985,17.414467,,
1544686261531440836,wheel,0.251122,0.000006,0.00009713,17.416103,4.087304,False
1544686261537015382,imu,0.348215,0.000020,0.00019436,17.418162,,
1544686261541436207,wheel,0.417165,0.000036,0.00023414,17.090239,0.873771,True
1544686261547014022,imu,0.512500,0.000061,0.00028433,17.093099,,
1544686261551438631,wheel,0.583855,0.000080,0.00023224,16.973187,0.372845,True
1544686261556996522,imu,0.678207,0.000099,0.00016680,16.979300,,
1544686261561447337,wheel,0.751053,0.000109,0.00012443,16.922333,0.182698,True
1544686261567003986,imu,0.845101,0.000119,0.00007154,16.928546,,
1544686261571453413,wheel,0.918653,0.000126,0.00012605,16.895850,0.084952,True
1544686261577004978,imu,1.012452,0.000141,0.00019407,16.896071,,
1544686261581443085,wheel,1.086087,0.000159,0.00029821,16.874125,0.052971,True
1544686261587009629,imu,1.180016,0.000193,0.00042883,16.873374,,
1544686261591450766,wheel,1.253498,0.000226,0.00045866,16.857137,0.065374,True
1544686261597015698,imu,1.347321,0.000271,0.00049604,16.862157,,
1544686261601476285,wheel,1.421388,0.000307,0.00046342,16.853167,0.042561,True
1544686261607007283,imu,1.514622,0.000348,0.00042298,16.859796,,
1544686261611444225,wheel,1.588841,0.000378,0.00038642,16.856170,0.011497,True
1544686261616994013,imu,1.682400,0.000412,0.00034069,16.859995,,
1544686261621484225,wheel,1.756775,0.000439,0.00037561,16.848012,0.059546,True
1544686261626995074,imu,1.849628,0.000476,0.00041847,16.850354,,
1544686261631441552,wheel,1.924507,0.000510,0.00048909,16.852192,0.000088,True
1544686261637004667,imu,2.018266,0.000560,0.00057745,16.855112,,
1544686261641449016,wheel,2.092477,0.000603,0.00059309,16.849361,0.017083,True
1544686261647005780,imu,2.186107,0.000660,0.00061265,16.850271,,
1544686261651444380,wheel,2.260228,0.000705,0.00060459,16.843623,0.015836,True
1544686261657003319,imu,2.353858,0.000761,0.00059449,16.842718,,
1544686261661448623,wheel,2.427729,0.000806,0.00060785,16.835593,0.036106,True
1544686261667000651,imu,2.521206,0.000864,0.00062453,16.837413,,
1544686261671443521,wheel,2.595950,0.000912,0.00066252,16.838239,0.000158,True
1544686261676993303,imu,2.689403,0.000976,0.00070997,16.839956,,
1544686261681464267,wheel,2.763936,0.001029,0.00070730,16.834722,0.021214,True
1544686261687002670,imu,2.857177,0.001095,0.00070398,16.835919,,
1544686261691445530,wheel,2.931936,0.001146,0.00066824,16.834888,0.000056,True
1544686261697002292,imu,3.025481,0.001206,0.00062353,16.833989,,
1544686261701441402,wheel,3.099933,0.001253,0.00063364,16.832524,0.002907,True
1544686261706997328,imu,3.193456,0.001313,0.00064630,16.833466,,
1544686261711453293,wheel,3.267931,0.001363,0.00068522,16.829774,0.010861,True
1544686261717001932,imu,3.361316,0.001429,0.00073368,16.830457,,
1544686261721445007,wheel,3.435704,0.001484,0.00075330,16.826165,0.005764,True
1544686261726995087,imu,3.529086,0.001556,0.00077780,16.824635,,
1544686261731448518,wheel,3.604192,0.001614,0.00077848,16.824445,0.001279,True
1544686261737002706,imu,3.697632,0.001687,0.00077932,16.822415,,
1544686261741459021,wheel,3.772672,0.001746,0.00078900,16.822795,0.000216,True
1544686261746982217,imu,3.865587,0.001820,0.00080099,16.822536,,
1544686261751475692,wheel,3.940208,0.001880,0.00082035,16.816797,0.037324,True
1544686261756991970,imu,4.032981,0.001958,0.00084412,16.819239,,
1544686261761459337,wheel,4.108661,0.002022,0.00084884,16.823333,0.011639,True
1544686261766996980,imu,4.201821,0.002101,0.00085469,16.823062,,
1544686261771454206,wheel,4.276914,0.002164,0.00083093,16.821325,0.000520,True
1544686261776993642,imu,4.370086,0.002240,0.00080140,16.818033,,
1544686261781465807,wheel,4.445176,0.002299,0.00077293,16.815610,0.000570,True
1544686261787006356,imu,4.538339,0.002370,0.00073766,16.813791,,
1544686261791460224,wheel,4.613414,0.002425,0.00073736,16.814654,0.001466,True
1544686261796993391,imu,4.706450,0.002494,0.00073699,16.813828,,
1544686261801459985,wheel,4.782133,0.002551,0.00076990,16.814802,0.014113,True
1544686261806999453,imu,4.875265,0.002624,0.00081070,16.810132,,
1544686261811455437,wheel,4.950175,0.002685,0.00082205,16.806054,0.000008,True
1544686261817002073,imu,5.043378,0.002763,0.00083618,16.800841,,
1544686261821456510,wheel,5.118410,0.002824,0.00078733,16.803183,0.001509,True
1544686261827006552,imu,5.211671,0.002894,0.00072647,16.804176,,
1544686261831481664,wheel,5.286199,0.002946,0.00065308,16.799247,0.018616,True
1544686261836992108,imu,5.378772,0.003002,0.00056271,16.799848,,
1544686261841458959,wheel,5.454650,0.003044,0.00053918,16.803825,0.029178,True
1544686261846999096,imu,5.547736,0.003093,0.00051000,16.800374,,
1544686261851458993,wheel,5.622229,0.003132,0.00055809,16.793581,0.007537,True
1544686261857005797,imu,5.715368,0.003187,0.00061789,16.789389,,
1544686261861453898,wheel,5.790235,0.003235,0.00064872,16.789894,0.001471,True
1544686261866990707,imu,5.883194,0.003297,0.00068709,16.788649,,
1544686261871485713,wheel,5.958269,0.003348,0.00068261,16.784340,0.006217,True
1544686261876988494,imu,6.050626,0.003411,0.00067712,16.782834,,
1544686261881461670,wheel,6.126488,0.003460,0.00062588,16.786220,0.026311,True
1544686261886986217,imu,6.219214,0.003515,0.00056259,16.782626,,
1544686261891447442,wheel,6.294482,0.003555,0.00049372,16.784379,0.006677,True
1544686261896999639,imu,6.387668,0.003597,0.00040801,16.782638,,
1544686261901462079,wheel,6.462704,0.003626,0.00036127,16.785086,0.000843,True
1544686261907033567,imu,6.556227,0.003657,0.00030291,16.786755,,
1544686261911458590,wheel,6.631134,0.003680,0.00030946,16.792033,0.016288,True
1544686261916981714,imu,6.723880,0.003710,0.00031763,16.792564,,
1544686261921456782,wheel,6.799370,0.003735,0.00035593,16.792341,0.005100,True
1544686261926995454,imu,6.892368,0.003770,0.00040333,16.788733,,
1544686261931449697,wheel,6.967837,0.003801,0.00039228,16.790932,0.020270,True
1544686261936996605,imu,7.060964,0.003837,0.00037853,16.787045,,
1544686261941451609,wheel,7.135847,0.003862,0.00028990,16.786804,0.000407,True
1544686261946988395,imu,7.228788,0.003883,0.00017974,16.785575,,
1544686261951440958,wheel,7.303828,0.003893,0.00006052,16.788035,0.003777,True
1544686261957009544,imu,7.397314,0.003891,-0.00008859,16.788292,,
1544686261961450048,wheel,7.472065,0.003883,-0.00013052,16.787931,0.001797,True
1544686261967017329,imu,7.565522,0.003869,-0.00018309,16.785548,,
1544686261971479247,wheel,7.640330,0.003854,-0.00019301,16.782780,0.000284,True
1544686261977069907,imu,7.734150,0.003836,-0.00020543,16.780072,,
1544686261981454893,wheel,7.808295,0.003819,-0.00025071,16.785129,0.013298,True
1544686261987026073,imu,7.901811,0.003793,-0.00030824,16.786337,,
1544686261991468168,wheel,7.976068,0.003768,-0.00034993,16.784298,0.004047,True
1544686261996996545,imu,8.068858,0.003734,-0.00040183,16.784549,,
1544686262001453465,wheel,8.144286,0.003703,-0.00042269,16.786367,0.016524,True
1544686262006980679,imu,8.237059,0.003663,-0.00044856,16.783069,,
1544686262011460315,wheel,8.312079,0.003627,-0.00048324,16.779961,0.001044,True
1544686262016999190,imu,8.405014,0.003581,-0.00052612,16.777495,,
1544686262021449385,wheel,8.480284,0.003539,-0.00058398,16.782058,0.015423,True
1544686262027035209,imu,8.574026,0.003481,-0.00065661,16.782476,,
1544686262031453105,wheel,8.648723,0.003429,-0.00076196,16.786402,0.012899,True
1544686262036991603,imu,8.741695,0.003352,-0.00089404,16.786528,,
1544686262041517476,wheel,8.817012,0.003280,-0.00097953,16.780953,0.018032,True
1544686262047000091,imu,8.909011,0.003186,-0.00108310,16.779617,,
1544686262051453225,wheel,8.985187,0.003104,-0.00109742,16.787790,0.089449,True
1544686262056983858,imu,9.078029,0.003001,-0.00111522,16.785718,,
1544686262061461845,wheel,9.153411,0.002918,-0.00110588,16.787864,0.001931,True
1544686262067023511,imu,9.246781,0.002815,-0.00109427,16.788754,,
1544686262071459996,wheel,9.321849,0.002734,-0.00109211,16.792630,0.014365,True
1544686262076970269,imu,9.414381,0.002633,-0.00108942,16.792658,,
1544686262081470228,wheel,9.490776,0.002549,-0.00111894,16.795062,0.029376,True
1544686262086997000,imu,9.583588,0.002444,-0.00115519,16.791327,,
1544686262091450623,wheel,9.659006,0.002355,-0.00120929,16.792995,0.017291,True
1544686262096984236,imu,9.751923,0.002239,-0.00127651,16.789938,,
1544686262101477487,wheel,9.827241,0.002140,-0.00134867,16.791393,0.000701,True
1544686262106996878,imu,9.919926,0.002011,-0.00143732,16.794190,,
1544686262111473911,wheel,9.995216,0.001901,-0.00149829,16.795896,0.000414,True
1544686262117012543,imu,10.088246,0.001758,-0.00157372,16.797235,,
1544686262121458262,wheel,10.162993,0.001640,-0.00157934,16.794314,0.000260,True
1544686262126994540,imu,10.255959,0.001493,-0.00158634,16.790068,,
1544686262131494156,wheel,10.331493,0.001375,-0.00153160,16.788417,0.000005,True
1544686262136995480,imu,10.423846,0.001237,-0.00146468,16.786482,,
1544686262141465905,wheel,10.499670,0.001127,-0.00146353,16.794259,0.025206,True
1544686262147020840,imu,10.592972,0.000990,-0.00146211,16.798087,,
1544686262151475519,wheel,10.668562,0.000878,-0.00152306,16.803713,0.024127,True
1544686262156999672,imu,10.761392,0.000733,-0.00159865,16.805057,,
1544686262161495149,wheel,10.837052,0.000609,-0.00167550,16.802562,0.000606,True
1544686262166986872,imu,10.929316,0.000450,-0.00176938,16.798644,,
1544686262171476901,wheel,11.005056,0.000314,-0.00182759,16.798870,0.004224,True
1544686262177022306,imu,11.098207,0.000141,-0.00189947,16.796857,,
1544686262181458322,wheel,11.173026,-0.000003,-0.00193800,16.800794,0.003864,True
1544686262187028013,imu,11.266609,-0.000186,-0.00198639,16.803534,,
1544686262191493306,wheel,11.341487,-0.000334,-0.00196547,16.804571,0.001054,True
1544686262196976161,imu,11.433630,-0.000514,-0.00193978,16.806956,,
1544686262201457634,wheel,11.509914,-0.000660,-0.00190937,16.811784,0.039018,True
1544686262207021120,imu,11.603443,-0.000837,-0.00187162,16.811016,,
1544686262211481051,wheel,11.678167,-0.000978,-0.00188284,16.809378,0.002650,True
1544686262216973262,imu,11.770487,-0.001152,-0.00189665,16.809089,,
1544686262221467043,wheel,11.846384,-0.001298,-0.00195568,16.811417,0.005420,True
1544686262226986022,imu,11.939167,-0.001483,-0.00202818,16.811841,,
1544686262231469766,wheel,12.015303,-0.001640,-0.00210349,16.815182,0.024084,True
1544686262237023199,imu,12.108682,-0.001840,-0.00219676,16.814199,,
