configuration,segment_id,start_timestamp_ns,end_timestamp_ns,epochs,duration_s,global_rmse_m,initial_pose_rmse_m,global_final_error_m,initial_pose_final_error_m
base,1,1544681141145694996,1544681173144815283,33,31.999,145.403591,0.191318,141.828882,0.427417
base,2,1544681188147310817,1544681232144137811,45,43.997,97.493552,12.311365,76.071198,22.646959
base,3,1544681248143759894,1544681311141789929,64,62.998,57.814453,48.739903,51.418065,54.806529
base,4,1544681362142360071,1544681430140444338,69,67.998,34.511931,96.268064,26.434403,113.884454
base,5,1544681432142418228,1544681436141106750,5,3.999,25.202082,116.038946,24.206019,117.104587
base,6,1544681456139983569,1544681482139247990,27,25.999,14.345953,143.726860,11.849213,154.590709
base,7,1544681517140901660,1544681709135934599,193,191.995,30.843651,120.969160,42.096899,59.176099
base,8,1544681711136403525,1544681777136546977,67,66.000,54.713566,38.519948,72.975309,57.296050
base,9,1544681789134256623,1544681836133921712,48,47.000,72.420249,65.366399,65.699334,60.910890
base,10,1544681910136341169,1544682181127195327,272,270.991,42.672764,115.554815,53.332368,130.756772
base,11,1544682324129916873,1544682365124552966,42,40.995,125.388560,117.114764,164.518071,171.256734
base,12,1544682388124372351,1544682424123824881,37,35.999,290.882022,333.279749,348.582200,404.106445
visual,1,1544681141145694996,1544681173144815283,33,31.999,164.895109,0.183952,159.477897,0.167070
visual,2,1544681188147310817,1544681232144137811,45,43.997,97.045990,10.802360,68.532682,24.756538
visual,3,1544681248143759894,1544681311141789929,64,62.998,49.962281,62.973503,40.344520,66.371203
visual,4,1544681362142360071,1544681430140444338,69,67.998,31.754045,147.590206,35.910217,194.122336
visual,5,1544681432142418228,1544681436141106750,5,3.999,34.391353,197.423866,32.822716,198.810813
visual,6,1544681456139983569,1544681482139247990,27,25.999,15.915164,232.825062,12.002335,247.756296
visual,7,1544681517140901660,1544681709135934599,193,191.995,29.631621,184.683669,39.942689,88.389557
visual,8,1544681711136403525,1544681777136546977,67,66.000,55.339015,46.397248,76.137032,47.875427
visual,9,1544681789134256623,1544681836133921712,48,47.000,78.680302,81.152023,71.736238,86.031064
visual,10,1544681910136341169,1544682181127195327,272,270.991,44.373296,171.416549,57.936247,196.829478
visual,11,1544682324129916873,1544682365124552966,42,40.995,132.569018,109.751265,172.249153,170.805846
visual,12,1544682388124372351,1544682424123824881,37,35.999,303.250499,341.667818,366.432724,417.636309
lidar,1,1544681141145694996,1544681173144815283,33,31.999,40.077092,3.419714,46.503477,5.832931
lidar,2,1544681188147310817,1544681232144137811,45,43.997,165.276857,34.679785,220.632235,51.669925
lidar,3,1544681248143759894,1544681311141789929,64,62.998,39.557969,360.417306,40.146620,388.554777
lidar,4,1544681362142360071,1544681430140444338,69,67.998,51.723825,508.956919,53.675014,568.139919
lidar,5,1544681432142418228,1544681436141106750,5,3.999,53.794545,576.559597,53.986704,581.662374
lidar,6,1544681456139983569,1544681482139247990,27,25.999,51.759773,678.742033,52.059252,710.649353
lidar,7,1544681517140901660,1544681709135934599,193,191.995,46.497772,618.951722,68.647994,551.499109
lidar,8,1544681711136403525,1544681777136546977,67,66.000,83.115709,530.234186,100.905354,510.091666
lidar,9,1544681789134256623,1544681836133921712,48,47.000,100.876084,517.147338,94.352454,520.218713
lidar,10,1544681910136341169,1544682181127195327,272,270.991,28.520934,536.476946,18.487714,554.871243
lidar,11,1544682324129916873,1544682365124552966,42,40.995,24.234002,437.006014,23.619152,421.180869
lidar,12,1544682388124372351,1544682424123824881,37,35.999,35.393566,358.120704,47.684172,320.717762
full,1,1544681141145694996,1544681173144815283,33,31.999,40.068667,3.421471,46.491166,5.837507
full,2,1544681188147310817,1544681232144137811,45,43.997,165.200052,34.739889,220.424157,51.849919
full,3,1544681248143759894,1544681311141789929,64,62.998,39.510375,360.424217,40.098015,388.558653
full,4,1544681362142360071,1544681430140444338,69,67.998,51.679165,508.931869,53.633811,568.103748
full,5,1544681432142418228,1544681436141106750,5,3.999,53.752632,576.523398,53.944615,581.625831
full,6,1544681456139983569,1544681482139247990,27,25.999,51.717337,678.695435,52.014541,710.603810
full,7,1544681517140901660,1544681709135934599,193,191.995,46.467775,618.897898,68.612561,551.418067
full,8,1544681711136403525,1544681777136546977,67,66.000,83.073030,530.145655,100.853750,509.997961
full,9,1544681789134256623,1544681836133921712,48,47.000,100.827818,517.058885,94.308444,520.133330
full,10,1544681910136341169,1544682181127195327,272,270.991,28.517798,536.399402,18.490717,554.787668
full,11,1544682324129916873,1544682365124552966,42,40.995,24.223470,436.960975,23.610011,421.140383
full,12,1544682388124372351,1544682424123824881,37,35.999,35.407516,358.102232,47.707924,320.714418
